,location,Abdala,COVIran_Barekat,CanSino,Covaxin,EpiVacCorona,Johnson_Johnson,Medigen,Moderna,Oxford_AstraZeneca,Pfizer_BioNTech,QazVac,Sinopharm_Beijing,Sinopharm_HayatVax,Sinopharm_Wuhan,Sinovac,Soberana02,Sputnik_V,ZF2001
169,San Marino,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
170,Sao Tome and Principe,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
171,Saudi Arabia,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
172,Scotland,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
173,Senegal,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
174,Serbia,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0
175,Seychelles,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
176,Sierra Leone,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
177,Singapore,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
178,Sint Maarten (Dutch part),0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
179,Slovakia,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
180,Slovenia,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
181,Solomon Islands,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
182,Somalia,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
183,South Africa,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
184,South Korea,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
185,South Sudan,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
186,Spain,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
187,Sri Lanka,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0
188,Sudan,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0
