,location,vaccines
30,Bulgaria,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
31,Burkina Faso,Oxford/AstraZeneca
32,Cambodia,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac"
33,Cameroon,"Oxford/AstraZeneca, Sinopharm/Beijing"
34,Canada,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
35,Cape Verde,"Oxford/AstraZeneca, Pfizer/BioNTech"
36,Cayman Islands,"Oxford/AstraZeneca, Pfizer/BioNTech"
37,Central African Republic,"Covaxin, Oxford/AstraZeneca"
38,Chad,Sinopharm/Beijing
39,Chile,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
40,China,"CanSino, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac, ZF2001"
41,Colombia,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
42,Comoros,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing"
43,Congo,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
44,Cook Islands,Oxford/AstraZeneca
45,Costa Rica,"Oxford/AstraZeneca, Pfizer/BioNTech"
46,Cote d'Ivoire,Oxford/AstraZeneca
47,Croatia,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
48,Cuba,"Abdala, Soberana02"
49,Curacao,"Moderna, Pfizer/BioNTech"
50,Cyprus,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
51,Czechia,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
52,Democratic Republic of Congo,Oxford/AstraZeneca
53,Denmark,"Johnson&Johnson, Moderna, Pfizer/BioNTech"
54,Djibouti,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V"
55,Dominica,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
56,Dominican Republic,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac"
57,Ecuador,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
58,Egypt,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V"
59,El Salvador,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
60,England,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
61,Equatorial Guinea,Sinopharm/Beijing
62,Estonia,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
63,Eswatini,Oxford/AstraZeneca
64,Ethiopia,Oxford/AstraZeneca
65,Faeroe Islands,"Moderna, Pfizer/BioNTech"
66,Falkland Islands,Oxford/AstraZeneca
67,Fiji,Oxford/AstraZeneca
68,Finland,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
69,France,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
70,French Polynesia,"Johnson&Johnson, Pfizer/BioNTech"
71,Gabon,Sinopharm/Beijing
72,Gambia,"Oxford/AstraZeneca, Sinopharm/Beijing"
73,Georgia,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac"
74,Germany,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
75,Ghana,"Oxford/AstraZeneca, Sputnik V"
76,Gibraltar,Pfizer/BioNTech
77,Greece,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
78,Greenland,Moderna
79,Grenada,"Oxford/AstraZeneca, Pfizer/BioNTech"
80,Guatemala,"Moderna, Oxford/AstraZeneca"
81,Guernsey,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
82,Guinea,Sputnik V
83,Guinea-Bissau,"Oxford/AstraZeneca, Sinopharm/Beijing"
84,Guyana,"Oxford/AstraZeneca, Sputnik V"
