,location,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,reproduction_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,abdala,coviran_barekat,cansino,covaxin,epivaccorona,johnson_johnson,medigen,moderna,oxford_astrazeneca,pfizer_biontech,qazvac,sinopharm_beijing,sinopharm_hayatvax,sinopharm_wuhan,sinovac,soberana02,sputnik_v,zf2001,PC 1,PC 2,PC 3,Class
134,Romania,1098765,34570.0,57443.439,1807.32,1.49,9771316.0,5246235.0,5135003.0,51.08,27.43,26.85,19127772,85.129,43.0,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,0.0,6.892,76.05,0.828,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,3.500652822404098,-0.9888618006862291,-0.04031169660121116,0
135,Russia,6820697,180009.0,46745.271,1233.682,0.95,80244526.0,43771190.0,36473336.0,55.0,30.0,25.0,145912022,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,0.0,8.05,72.58,0.824,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2.8236745681776485,3.1307937468289295,0.47875035296310176,4
136,Rwanda,87627,1089.0,6600.15,82.025,0.95,0.0,0.0,0.0,0.0,0.0,0.0,13276517,494.869,20.3,2.974,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,0.0,69.02,0.543,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,-2.456664340785623,-0.5280230333113355,-1.5920576218839302,1
137,Saint Kitts and Nevis,1091,3.0,20375.005,56.027,1.03,0.0,0.0,0.0,0.0,0.0,0.0,53546,212.865,0.0,0.0,0.0,24654.385,0.0,0.0,12.84,0.0,0.0,0.0,2.3,76.23,0.779,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-2.0361292706747354,-0.6447443448219602,-0.9244332599341043,1
138,Saint Lucia,8219,104.0,44571.342,563.988,1.43,0.0,0.0,0.0,0.0,0.0,0.0,184401,293.187,34.9,9.721,6.405,12951.839,0.0,204.62,11.62,0.0,0.0,87.202,1.3,76.2,0.759,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1.1366772461260681,-0.5876051358171231,0.07442341527599731,4
139,Saint Vincent and the Grenadines,2336,12.0,20994.167,107.847,0.97,0.0,0.0,0.0,0.0,0.0,0.0,111269,281.787,31.8,7.724,4.832,10727.146,0.0,252.675,11.62,0.0,0.0,0.0,2.6,72.53,0.738,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1.5783117771627078,-0.5428382646108935,-0.17270793054999958,1
140,Samoa,3,0.0,14.989,0.0,0.0,134265.0,92319.0,41946.0,67.08,46.13,20.96,200144,69.413,22.0,5.606,3.564,6021.557,0.0,348.977,9.21,16.7,38.1,0.0,0.0,73.32,0.715,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1.105216502787339,-0.42956156484981245,-0.013070859916371672,4
141,San Marino,5331,90.0,156748.015,2646.281,1.01,0.0,0.0,0.0,0.0,0.0,0.0,34010,556.667,0.0,0.0,0.0,56861.47,0.0,0.0,5.64,0.0,0.0,0.0,3.8,84.97,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-1.2834169391555224,-0.6502990029966091,-1.0697562781648537,1
142,Sao Tome and Principe,2608,37.0,11676.009,165.649,1.28,0.0,0.0,0.0,0.0,0.0,0.0,223364,212.841,18.7,2.886,2.162,3052.714,32.3,270.113,2.42,0.0,0.0,41.34,2.9,70.39,0.625,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-3.0461299290588673,-0.4598326056000941,-0.9512153253133375,1
143,Saudi Arabia,543318,8512.0,15373.728,240.856,0.39,37133188.0,22218040.0,14915148.0,105.07,62.87,42.2,35340680,15.322,31.9,3.295,1.845,49045.411,0.0,259.538,17.72,1.8,25.4,0.0,2.7,75.13,0.854,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.9636202959979115,0.016678627788294386,0.13891525118039613,4
144,Senegal,72805,1765.0,4233.758,102.638,0.49,0.0,0.0,0.0,0.0,0.0,0.0,17196308,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,0.0,67.94,0.512,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,-3.8054436560184195,-0.122621384278424,-0.8431230575744992,1
