,location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
69367,Mongolia,213820.0,,2424.857,937.0,,4.286,64224.058,,728.342,281.442,,1.287,1.28,,,,,5817.0,3715089.0,1115.883,1.747,,,,,samples tested,4333638.0,2239399.0,2094239.0,,5760.0,4990.0,130.17,67.26,62.9,,1499.0,59.26,3329282.0,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.737
69906,Montenegro,115385.0,598.0,621.0,1724.0,4.0,4.857,183719.157,952.152,988.773,2745.0,6.369,7.734,1.02,,,,,,,,,,,,,,394420.0,210591.0,183829.0,,2185.0,2297.0,62.8,33.53,29.27,,3657.0,,628051.0,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.829
70117,Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4981.0,,,,,,,,,,,,,74.16,
70692,Morocco,860948.0,4899.0,5688.429,12649.0,109.0,93.571,23054.034,131.183,152.322,338.709,2.919,2.506,0.78,,,,,35889.0,8112980.0,217.245,0.961,32527.0,0.871,0.175,5.7,people tested,33721703.0,18701155.0,15020548.0,,,353345.0,90.3,50.08,40.22,,9462.0,,37344787.0,80.08,29.6,6.769,4.209,7485.013,1.0,419.146,7.14,0.8,47.1,,1.1,76.68,0.686
71226,Mozambique,146316.0,263.0,380.143,1864.0,11.0,7.286,4549.196,8.177,11.819,57.955,0.342,0.227,0.68,,,,,2453.0,850627.0,26.447,0.076,2611.0,0.081,0.146,6.9,units unclear,,,,,,,,,,,,,32163045.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456
71755,Myanmar,399282.0,3399.0,2986.429,15389.0,102.0,109.571,7285.368,62.019,54.491,280.79,1.861,1.999,1.01,,,,,,,,,25132.0,0.459,0.119,8.4,samples tested,,,,,,,,,,,,,54806014.0,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583
72297,Namibia,125046.0,146.0,144.857,3375.0,3.0,4.143,48329.87,56.429,55.987,1304.426,1.159,1.601,0.79,,,,,1211.0,661329.0,255.601,0.468,1469.0,0.568,0.099,10.1,samples tested,,,,,,3678.0,,,,,1422.0,,2587344.0,3.078,22.0,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646
73023,Nepal,762647.0,1523.0,1663.714,10750.0,20.0,26.0,25700.052,51.323,56.065,362.259,0.674,0.876,0.83,,,,,9117.0,3915146.0,131.935,0.307,9406.0,0.317,0.177,5.7,tests performed,9799013.0,5339252.0,4459761.0,,85128.0,137879.0,33.02,17.99,15.03,,4646.0,52.31,29674920.0,204.43,25.0,5.809,3.212,2442.804,15.0,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602
73581,Netherlands,1976440.0,2456.0,2627.857,18368.0,20.0,10.429,115089.337,143.014,153.022,1069.58,1.165,0.607,0.99,,,,,,,,,,,,,,,,,,,15874.0,,,,,924.0,41.67,17173094.0,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944
73798,New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,151912.0,82172.0,69740.0,,,867.0,52.71,28.51,24.2,,3008.0,,288217.0,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,
